"label","original_url","corrected_url","source_status","comments"
"study: group brainstorming with equal input leads to more creative outcomes","https://www.frontiersin.org/articles/10.3389/fpsyg.2016.01184/full","https://www.frontiersin.org/articles/10.3389/fpsyg.2016.01184/full","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"Self & Identity validation of the mattering construct with links to well-being","https://www.tandfonline.com/doi/pdf/10.1080/13576500444000119","https://www.tandfonline.com/doi/pdf/10.1080/13576500444000119","valid-peer-reviewed","Self & Identity 2004 article validates the mattering scale and links it to mental health; matches label"
"analysis of self-esteem and mental health: high self-worth predicts lower depression","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5350104/","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5350104/","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"study showing that feeling one matters to others (significance) reduces stress and improves coping","https://www.frontiersin.org/articles/10.3389/fpsyg.2019.01739/full","https://www.frontiersin.org/articles/10.3389/fpsyg.2019.01739/full","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"meta-analysis linking self-esteem to positive life outcomes (education, relationships)","https://journals.sagepub.com/doi/10.1177/1745691614527123","https://journals.sagepub.com/doi/10.1177/1745691614527123","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"study on positive feedback: praise and recognition boost self-esteem and motivation","https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00007/full","https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00007/full","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"longitudinal study: childhood experiences of unconditional love predict adult self-esteem","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6124222/","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6124222/","valid-peer-reviewed","Source is peer-reviewed and matches label; meets criteria"
"cross-cultural evidence that honour values boost cooperative, trust-reinforcing behavior across societies","https://www.nature.com/articles/s41562-025-02308-0","https://www.nature.com/articles/s41562-025-02308-0","valid-peer-reviewed","Nature Human Behaviour 2025 article shows honour values predict cooperative trust across 13 societies; matches label"
"review: reputation-based cooperation shows moral reputation sustains trust within groups","https://pmc.ncbi.nlm.nih.gov/articles/PMC8487732/","https://pmc.ncbi.nlm.nih.gov/articles/PMC8487732/","valid-peer-reviewed","Royal Society Theme Issue review detailing reputation-based cooperation mechanisms that maintain group trust"
"peer-reviewed articulation of integrity as principled consistency tied to prosocial action","https://doi.org/10.1521/jscp.2008.27.10.1078","https://doi.org/10.1521/jscp.2008.27.10.1078","valid-peer-reviewed","Journal of Social and Clinical Psychology article defines integrity as value-consistent behavior linked to prosocial conduct"
"ethical leadership research showing integrity builds follower trust, cohesion, and voice","https://pmc.ncbi.nlm.nih.gov/articles/PMC8882060/","https://pmc.ncbi.nlm.nih.gov/articles/PMC8882060/","valid-peer-reviewed","Peer-reviewed study connects ethical leadership integrity with follower trust and team outcomes"
"classic review: procedural justice fosters legitimacy and voluntary compliance","https://www.annualreviews.org/doi/10.1146/annurev.psych.57.102904.190038","https://www.annualreviews.org/doi/10.1146/annurev.psych.57.102904.190038","valid-peer-reviewed","Annual Review of Psychology synthesis linking fair procedures to legitimacy and compliance"
"Self & Identity validation of the mattering construct with links to well-being","https://www.tandfonline.com/doi/pdf/10.1080/13576500444000119","https://www.tandfonline.com/doi/pdf/10.1080/13576500444000119","valid-peer-reviewed","Self & Identity 2004 article validates mattering scale and ties it to well-being outcomes"
"2024 meta-analysis: mattering shows robust associations with well-being and motivation","https://link.springer.com/article/10.1007/s10902-024-00720-3","https://link.springer.com/article/10.1007/s10902-024-00720-3","valid-peer-reviewed","Journal of Happiness Studies meta-analysis quantifies mattering’s links with well-being and motivation"
"press release summarizing global meta-analysis linking trust with subjective well-being","https://www.apa.org/news/press/releases/2025/06/trust-subjective-well-being","https://www.apa.org/news/press/releases/2025/06/trust-subjective-well-being","valid-institutional","APA press release summarizing bidirectional trust and well-being findings for lay readers"
"Psychological Bulletin meta-analysis: 991 effects show bidirectional trust↔well-being links across ~2.5M participants","https://www.apa.org/pubs/journals/releases/bul-bul0000480.pdf","https://www.apa.org/pubs/journals/releases/bul-bul0000480.pdf","valid-peer-reviewed","Psychological Bulletin meta-analysis demonstrates robust bidirectional associations between trust and well-being"
