familyId,familyLabel,patternId,patternLabel,example,feelings,needs
follow-through,Not following through,partial-complete,Partially completed without note,The requested steps were half-finished and no message explained the status.,Confused|Anxious|Irritated|Tense,Clarity|Accountability|Honesty|Reliability
gossip,Talking about me when I’m not there,quote-in-my-absence,Comment about me relayed later,"In a separate chat, a comment about my work was shared without me present.",Hurt|Confused|Anxious|Irritated,Honesty|Non-judgmental Communication|Respect|Trust
gossip,Talking about me when I’m not there,private-info-shared,Private detail shared,A personal detail I shared privately appeared in a group thread.,Embarrassed|Hurt|Anxious,Privacy|Integrity|Respect|Trust
gossip,Talking about me when I’m not there,speculation,Speculative claims about me,A guess about my intentions was posted in the team chat.,Tense|Hurt|Anxious,Honesty|Understanding|Respect|To be heard
social-exclusion,Not being included,not-invited,Not invited to group activity,Photos show the team lunch; I was not in the calendar invite list.,Lonely|Sad|Hurt|Disappointment,Inclusion|Belonging|Connection|Participation
social-exclusion,Not being included,info-channel-missed,Left out of info channel,The new project channel didn’t include my account.,Confused|Anxious|Irritated|Hurt,Inclusion|Participation|To be seen|Equality
customer-service,Customer service frustrations,long-hold,Long hold time,The call was on hold for 28 minutes.,Frustrated|Tired|Irritated|Anxious,Respect|Clarity|Peace|Order
customer-service,Customer service frustrations,repeat-explanations,Had to explain issue repeatedly,The same issue was explained to three different agents.,Tired|Irritated|Sad,Understanding|Clarity|Accountability|Consistency
customer-service,Customer service frustrations,missed-callback,Promised callback didn’t happen,A callback scheduled for 2–3 pm did not occur.,Anxious|Irritated|Disappointment,Reliability|Trust|Accountability|Clarity
micromanagement,Micromanaging / Over-control,hovering,Standing over me while I work,"During the task, the manager stood behind my chair watching.",Tense|Anxious|Irritated|Embarrassed,Autonomy|Trust|Act Freely|Choose Freely
micromanagement,Micromanaging / Over-control,changed-steps,Steps changed mid-task,Instructions were changed while I was executing the plan.,Overwhelmed|Anxious|Tense|Frustrated,Clarity|Predictability|Control|Consistency
micromanagement,Micromanaging / Over-control,constant-check-ins,Frequent check-ins within short window,Three messages asked for status within 15 minutes.,Overwhelmed|Tense|Irritated|Confused,Trust|Do things at my own pace and in my own way|Calm|Autonomy
driving-etiquette,Driving behavior,tailgating,Following very closely,The car followed at a distance of one car length at 60 mph.,Scared|Tense|Alarmed|Anxious,Safety|Security|Calm|Predictability
driving-etiquette,Driving behavior,lane-weaving,Changing lanes rapidly,The driver changed lanes three times within 10 seconds.,Scared|Tense|Anxious,Safety|Predictability|Calm|Security
driving-etiquette,Driving behavior,phone-while-driving,Using phone while vehicle moving,The driver typed on a phone while the car was in motion.,Anxious|Scared|Tense,Safety|Accountability|Love/Caring|Calm
pet-etiquette,Pets / Etiquette,off-leash,Dog off leash in posted area,A dog ran free where a leash sign was posted.,Anxious|Tense|Alarmed,Safety|Order|Predictability|Community
pet-etiquette,Pets / Etiquette,barking-late,Barking late at night,Barking continued past 11:00 pm for 20 minutes.,Irritated|Tired|Overwhelmed|Tense,Rest|Peace|Serenity|Consideration
pet-etiquette,Pets / Etiquette,waste-left,Pet waste not cleaned,Pet waste remained on the shared sidewalk.,Irritated|Sad|Tense,Order|Community|Consideration|Beauty
public-noise,Noise in shared/public spaces,speakerphone-public,Speakerphone call in quiet area,A speakerphone call continued in the library for five minutes.,Irritated|Confused|Tense,Peace|Order|Consideration|Community
public-noise,Noise in shared/public spaces,music-no-headphones,Music played without headphones,Music played out loud on the bus during the ride.,Irritated|Confused|Tense|Overwhelmed,Peace|Consideration|Community|Order
public-noise,Noise in shared/public spaces,loud-convo,Very loud conversation next to me,Two people spoke loudly beside my seat for 15 minutes.,Confused|Irritated|Tense|Tired,Peace|Serenity|Space|Consideration
queue-etiquette,Lines / Queues,cutting-line,Someone stepped ahead in line,A person moved ahead of me while I was standing in the checkout line.,Irritated|Hurt|Angry,Fairness|Equality|Order|Justice
queue-etiquette,Lines / Queues,saving-spots,Holding places for late arrivals,Three people joined a friend at the front of the line.,Irritated|Frustrated|Tense|Anxious,Fairness|Order|Community|Clarity
queue-etiquette,Lines / Queues,unclear-queue,No clear line markers,People formed two lines at the counter without signage.,Confused|Tense|Irritated|Anxious,Clarity|Order|Predictability|Peace
delivery-issues,Deliveries / Service windows,late-delivery,Package arrived after window,The delivery window was 2–4 pm; the package arrived at 6:10 pm.,Frustrated|Anxious|Irritated|Tense,Predictability|Reliability|Clarity|Accountability
delivery-issues,Deliveries / Service windows,no-doorbell,No ring/knock on delivery,The package was left without ringing the bell while I was home.,Irritated|Anxious|Confused,Consideration|Clarity|Reliability|Respect
delivery-issues,Deliveries / Service windows,signature-missed,Signature required but no attempt,A ‘signature required’ notice appeared without a knock.,Frustrated|Tense|Anxious|Irritated,Accountability|Clarity|Reliability|Respect
money-billing,Bills / Subscriptions,charged-after-cancel,Charged after cancellation,A charge posted after I received a cancellation confirmation email.,Anxious|Irritated|Sad,Honesty|Integrity|Justice|Clarity
money-billing,Bills / Subscriptions,hidden-fee,Fee not shown upfront,A service fee appeared at checkout that wasn’t listed on the menu.,Anxious|Irritated,Honesty|Fairness|Trust|Clarity
money-billing,Bills / Subscriptions,auto-renew,Auto-renewal without reminder,A subscription renewed without an advance reminder email.,Irritated|Anxious|Frustrated,Clarity|Accountability|Dependability|Trust
tech-issues,Tech reliability,wifi-drop,Connection dropped repeatedly,The call disconnected three times in 20 minutes.,Frustrated|Tense|Confused|Anxious,Reliability|Predictability|Order|Peace
tech-issues,Tech reliability,audio-echo,Echo/noise in call,Echo persisted for five minutes after the meeting started.,Irritated|Confused|Tense|Overwhelmed,Clarity|Order|Peace|Support
tech-issues,Tech reliability,share-failed,Screen share failed during demo,The screen share cut out twice during the demo.,Anxious|Tense|Embarrassed|Frustrated,Support|Predictability|Accomplishment|Clarity
parenting-routines,Routines / Requests with kids,homework-delayed,Homework not started by agreed time,At 7:30 pm the homework page was still blank after our 7:00 pm start agreement.,Anxious|Irritated|Tense,Consistency|Accountability|Support|Order
parenting-routines,Routines / Requests with kids,screen-time-continued,Screen stayed on after limit,The tablet remained on 20 minutes past the 8:00 pm limit.,Frustrated|Tense|Anxious|Irritated,Consistency|Respect|Accountability|Clarity
parenting-routines,Routines / Requests with kids,morning-routine,Morning routine steps skipped,Shoes and backpack were not by the door at the agreed time.,Overwhelmed|Tense|Anxious|Irritated,Order|Predictability|Support|Do things at my own pace and in my own way
sleep-noise,Sleep disruptions,snoring-loud,Loud snoring,Snoring continued loudly for 40 minutes after midnight.,Tired|Irritated|Overwhelmed|Tense,Rest|Peace|Serenity|Space
sleep-noise,Sleep disruptions,late-night-notifications,Notifications after quiet time,Phone notifications sounded after 11:00 pm on the nightstand.,Alarmed|Irritated|Tired|Tense,Rest|Peace|Consideration|Order
sleep-noise,Sleep disruptions,roommate-late-entrance,Came in loudly late at night,The door closed loudly and footsteps were heavy at 1:10 am.,Alarmed|Irritated|Tired|Tense,Rest|Peace|Consideration|Respect
social-media-sharing,Social media / Sharing,posted-photo-no-ask,Posted photo of me without asking,A photo of me at the event was posted without checking first.,Tense|Anxious|Hurt|Irritated,Privacy|Autonomy|Respect|Honor
social-media-sharing,Social media / Sharing,tagged-location-home,Tagged my home location,The post included my street name.,Anxious|Tense|Angry,Safety|Security|Privacy|Clarity
social-media-sharing,Social media / Sharing,shared-dm,Shared my DM publicly,A direct message from me appeared in a public comment thread.,Embarrassed|Hurt|Anxious|Irritated,Privacy|Respect|Trust|Non-judgmental Communication
