Need Title,Category Label,Page Summary,Related Strategies,Related Faux Feelings,Slug Override,Related Feelings,Claim Summary,Claim Narrative,Source Links
Honor,Love/Caring,,(Honor) Reflection Meditation,Betrayed,honor,"Angry,Hurt,Disappointment,Enraged","When the need for Honor is alive, we may want our personhood, boundaries, identities, or work to be held in high regard and given appropriate, non-coercive space. This need orients us toward attentive, non-judgmental witnessing, accurate reflection, and restraint from managing or correcting. Philosophers describe this stance as recognition respect—owed regard grounded in status rather than reputation or achievement. In care settings, autonomy-supportive conduct (clear information, genuine choice, avoidance of undue influence) is associated with better motivation and health behaviors.","If you’re needing honor right now, that’s valid—even if your feelings are mixed or shifting. To honor in this sense is to regulate our conduct in light of another’s standing and claims (recognition respect), which in practice shows up as accurate listening, granting space, and supporting self-directed choice rather than pressing for compliance. Clinical ethics cashes this out as respect for persons via autonomy (disclosure, voluntariness, and non-coercion), and person-centered traditions emphasize unconditional positive regard and “holding” environments—non-judgmental, safe, containing space. Across theory and meta-analytic evidence, these practices link with improved motivation, well-being, and adherence—supporting Honor as holding in high regard and giving respectful space, distinct from trust or peer reputation.","- https://www.journals.uchicago.edu/doi/10.1086/292054 (Darwall (1977) on recognition vs. appraisal respect)
- https://plato.stanford.edu/entries/respect/ (Stanford Encyclopedia of Philosophy: Respect entry)
- https://pmc.ncbi.nlm.nih.gov/articles/PMC7923912/ (Review of autonomy-supportive clinical communication and patient outcomes)
- https://selfdeterminationtheory.org/SDT/documents/2012-NgNtoumanis_PPS.pdf (Ng & Ntoumanis (2012) review on SDT and health behavior change)
- https://selfdeterminationtheory.org/wp-content/uploads/2020/05/2020_NtoumanisEtAl_MetaAnalysisHealth.pdf (Ntoumanis et al. (2020) meta-analysis of autonomy support in health contexts)
- https://www.ncbi.nlm.nih.gov/books/NBK589708/ (National Academies resource on respectful, autonomy-supportive care)
- https://pmc.ncbi.nlm.nih.gov/articles/PMC9513407/ (Systematic review linking autonomy-supportive practice to adherence and motivation)
- https://pubmed.ncbi.nlm.nih.gov/25547522/ (Observational study of autonomy support improving patient adherence)"
Commitment,Safety/Security,,"Schedule your day,Crunch the numbers",Betrayed,commitment,"Angry,Hurt,Disappointment,Enraged","Stable investment in people and projects can allow long-term goals to be realized. This need may motivate planning, prioritizing, and sustaining effort across setbacks. Sound commitment breeds reliability and shared momentum.","Achieving long-term goals – whether in relationships or projects – requires a steady commitment. We have a need to invest ourselves in people or endeavors we care about for the long haul. This need for commitment may drive us to make plans, set priorities, and keep putting in effort even when there are obstacles or setbacks. Psychological studies on relationships and team performance show that strong commitment (e.g. deciding to stick together or persist toward a goal) fosters mutual trust and creates a sense of shared momentum. When everyone is reliably “all in,” plans are more likely to come to fruition because each person can count on the others to stay the course. In summary, commitment provides a stable foundation that turns long-term aspirations into achieved outcomes through sustained, coordinated effort.","- https://psycnet.apa.org/record/1997-04604-006 (research on commitment in relationships and teams contributing to long-term success and trust)
- https://www.sciencedirect.com/science/article/pii/S0010027725002276 (study linking commitment to goals with improved goal achievement and group momentum)"
Clarity,Empathy/Understanding,,"Crunch the numbers,Go on walk,Play a video game,Alternate-nostril breaths,5-4-3-2-1 check,Hold something cool,Name three sounds,Write three sentences,Name three needs alive,Observation only,Micro-request to self,Circle the priority,Ask for channel shift,Name → need link,Calendar one thing,Self-check scale,Trace your hand,Name what’s within control,Value compass card,Name a want & a don’t,Window Quarter,Nearest Job","Betrayed,Misunderstood,Pressured",clarity,"Angry,Hurt,Disappointment,Enraged,Upset,Frustrated,Anxious,Resentful,Overwhelmed","Clear information can lower cognitive load and prevent costly misunderstandings. This need may motivate simplifying, summarizing, and verifying meanings. Reliable clarity enhances coordination and confidence.","People function much better when information is clear – unambiguous communication reduces the mental effort (“cognitive load”) required to understand, and it helps avoid misunderstandings that can be costly. The need for clarity may push us to simplify our messages, summarize key points, and double-check that everyone interprets things the same way. In education and work contexts, research shows that clarity in instructions or feedback lowers confusion and error rates. A dramatic illustration comes from healthcare: about 80% of serious medical errors have been traced to communication failures (unclear or incomplete information) rather than lack of skill. By ensuring reliable clarity – communicating in a straightforward, transparent manner – groups achieve better coordination, and individuals feel more confident in what they’re doing.","- https://doi.org/10.1111/j.2044-8279.1992.tb01017.x (Experiments show that integrating text and diagrams reduces extraneous load and errors versus split-attention formats.)
- https://qualitysafety.bmj.com/content/13/5/330 (healthcare data: 80% of serious errors result from miscommunication, illustrating the cost of lack of clarity)"
Accountability,Community/Belonging,,Schedule your day,"Blamed,Criticized,Humiliated",accountability,"Angry,Scared,Confused,Antagonistic,Hostile,Bewildered,Hurt,In pain,Anxious,Frustrated,Embarrassed,Sad","Groups often function best when intentions and actions align, making reliability a core social currency. This need may motivate clarifying expectations, repairing misses, and creating follow-through systems. Consistent accountability stabilizes trust and turns shared aims into predictable outcomes.","Effective groups rely on members doing what they say they will do – reliability acts like social “currency” that builds trust. The need for accountability may drive people to set clear expectations, acknowledge and fix mistakes, and establish systems to ensure commitments are kept. Research in team dynamics shows that when individuals hold themselves accountable and align actions with intentions, mutual trust is strengthened and group goals become more attainable because everyone can predict and count on each other’s behavior. Journal of Applied Psychology meta-analyses link accountability and team performance, underscoring how consistent follow-through creates stability and helps translate shared goals into reliable results.","- https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7213777/ (theory of social safety emphasizing reliable social bonds and trust)
- https://bmchealthservres.biomedcentral.com/articles/10.1186/s12913-023-10035-3 (discussion of accountability and trust in healthcare teams)
- https://onlinelibrary.wiley.com/doi/abs/10.1111/apps.12008 (Journal of Applied Psychology meta-analysis connecting accountability and team performance)"
Causality,Community/Belonging,,Play a video game,Blamed,causality,"Angry,Scared,Confused,Antagonistic,Hostile,Bewildered,Hurt","Accurate mental models of ‘what leads to what’ can reduce uncertainty and error. This need may motivate investigation, testing assumptions, and building shared explanations. Clarity about causality improves prediction and effective action.","People have a strong drive to understand cause-and-effect – having a correct idea of “what leads to what” helps us feel less uncertain and avoid mistakes. This need for causal understanding may push us to investigate how things work, challenge our assumptions with experiments or questions, and develop explanations that we can share with others. Cognitive science indicates that when we grasp causality clearly, we can make better predictions about the future and take more effective actions (our brains are essentially prediction machines that crave reliable patterns; uncertainty triggers stress until explained). In summary, gaining clarity about causal relationships (whether in science, everyday problems, or interpersonal faux feelings) improves our ability to anticipate outcomes and respond appropriately.","- https://www.nature.com/articles/s41562-019-0766-4 (research on how humans form causal models to reduce uncertainty and guide decisions)
- https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3694083/ (discussion on the brain’s drive to predict and the stress of uncertainty)"
Fairness,Community/Belonging,,"Write a letter,Compassionate meditation","Blamed,Cheated,Ripped off / Screwed,Wronged",fairness,"Angry,Scared,Confused,Antagonistic,Hostile,Bewildered,Hurt,Resentful,Disappointment,Irritated","Reciprocity and norm enforcement are widely observed stabilizers of social life. This need may motivate clarifying rules, correcting bias, and distributing benefits and burdens more equitably. Fairness sustains cooperation over time.","Fairness – the sense that people get what they deserve and follow reciprocal norms – is a cornerstone of stable societies and groups. Humans (and even other cooperative animals) show strong reactions to unfairness and will go to lengths to enforce fair behavior or reciprocate kind acts (e.g. punishing cheaters, rewarding cooperators). The need for fairness may compel us to establish clear rules, identify and correct biases or injustices, and try to share both benefits and burdens in a more even-handed way. Evolutionary and social psychology research suggests that this fairness impulse may have evolved because it promotes long-term cooperation: groups where members feel treated justly are more likely to stick together and work through conflicts. Indeed, when people perceive fairness, they’re more willing to cooperate repeatedly, trusting that others won’t exploit them. In summary, fairness keeps everyone invested in the social contract, thereby sustaining cooperation over the long run.","- https://www.sciencedaily.com/releases/2014/09/140918141151.htm (summary of research by Brosnan & de Waal: fairness instinct in primates evolved to support long-term cooperation)
- https://www.pnas.org/doi/10.1073/pnas.1402280111 (study on humans enforcing fairness norms even at a cost, to stabilize cooperation)"
Justice,Community/Belonging,,Write a letter,"Blamed,Cheated,Overpowered,Ripped off / Screwed,Victimized,Wronged",justice,"Angry,Scared,Confused,Antagonistic,Hostile,Bewildered,Hurt,Resentful,Impotent,Helpless,Disappointment,Frightened,Irritated","Correcting harm and preventing exploitation can sustain social order. This need may motivate advocacy, accountability processes, and restorative or protective policies. Justice preserves trust in shared systems.","A sense of justice is fundamental for keeping society stable and cooperative: people need to see that wrongs are addressed and exploitation is kept in check. This need for justice spurs us to take action when someone is harmed or cheated – for instance, by advocating for victims, setting up fair accountability and legal processes, and implementing policies that protect the vulnerable or make amends for wrongdoing. When justice is served (meaning harms are corrected and unfair advantages removed), it upholds public trust in the community or system. For example, if citizens believe their justice system holds everyone accountable fairly, they are more likely to trust authorities and follow the law. On the other hand, a perception of rampant injustice erodes trust and social cohesion. Thus, pursuing justice – whether through courts, community norms, or organizational policy – is crucial not just ethically but also for maintaining collective trust and order.","- https://www.annualreviews.org/doi/10.1146/annurev.psych.57.102904.190038 (classic procedural justice review: fair processes build legitimacy and voluntary cooperation)
- https://academic.oup.com/psychsocgerontology/article/71/1/229/2605306 (study on restorative justice approaches and their effects on community trust and well-being)"
Choice,Autonomy/Freedom,,"Go on walk,Make art,Play a video game,Road trip,Make a request in conversation,Needs → strategies map,Light adjust,Name support options","Bullied,Caged/Boxed-in,Coerced,Pressured",choice,"Angry,Scared,Thwarted,Anxious,Frustrated,Frightened,Resentful,Overwhelmed","Access to options can enable better fit between values and behavior. This need may motivate generating alternatives, evaluating trade-offs, and selecting a path. Supporting choice increases perceived control and adaptive responding.","Being able to choose among different options helps people align their actions with their personal values or preferences. The need for choice may make us seek or create alternatives, weigh the pros and cons of each, and then commit to a course of action that feels right. Studies in behavioral psychology find that when individuals have meaningful choices (especially choices that reflect what they care about), they experience a greater sense of control and are more flexible and resilient in their responses (having options can buffer stress because it prevents feeling trapped). In practice, supporting an individual’s ability to make choices – rather than forcing a single path – tends to improve their engagement and adaptive problem-solving.","- https://psycnet.apa.org/doi/10.1037/0022-3514.76.3.482 (research showing having choices that align with one’s values increases satisfaction and perceived autonomy)
- https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3267932/ (study on choice and perceived control contributing to stress reduction and flexibility)"
Freedom,Autonomy/Freedom,,"Go on walk,Play a video game,Road trip,Make a request in conversation,Shake for 30 seconds","Caged/Boxed-in,Coerced,Cornered,Manipulated,Overpowered,Smothered/Suffocated",freedom,"Angry,Thwarted,Scared,Anxious,Frustrated,Frightened,Powerless,Impotent,Helpless,Confused,Fear,Desperation","Exploration and voluntary engagement can foster innovation and problem solving. This need may motivate opening options, loosening unnecessary constraints, and encouraging initiative. Respecting freedom keeps systems responsive and creative.","Having freedom – the ability to explore ideas and engage in activities by choice – is a catalyst for innovation and effective problem-solving. When people are not overly constrained by rigid rules or micromanagement, they tend to generate more creative solutions and take initiative to address challenges. This need for freedom may drive practices like expanding available options, removing rules that aren’t truly needed, and actively encouraging individuals to try new approaches on their own. Management research has found that workplaces which allow employees some freedom in process (how they achieve goals) see boosts in creativity and innovation (because freedom supports intrinsic motivation and diverse thinking). Likewise, in learning environments, students given more autonomy often show better problem-solving abilities. In essence, respecting and preserving freedom within a system – be it a company, team, or community – helps it stay flexible, adaptive, and inventive.","- https://hbr.org/1998/09/how-to-kill-creativity (HBR article noting that giving people freedom in how they do their work increases intrinsic motivation and creativity)
- https://www.sciencedirect.com/science/article/abs/pii/S1871187125001026 (study in educational settings: freedom to explore improves problem-solving skills and innovation among students)"
Reliability,Love/Caring,,Schedule your day,Cheated,reliability,"Resentful,Hurt,Angry","Consistency across time and context may be essential for complex coordination. This need may motivate redundancies, maintenance, and realistic commitments. Reliability lowers friction and builds dependable systems.","For any complicated task or teamwork to succeed, each part needs to perform consistently whenever needed – that’s the essence of reliability. When something (or someone) is reliable, it behaves predictably the same way across different times and faux feelings. This is critical for coordination: others can plan and act with the confidence that the reliable element won’t fail or change unexpectedly. The need for reliability may push people to build in safeguards and backups (redundancies) in systems, to do regular maintenance and check-ups on tools or processes, and to make promises or plans they can realistically keep (instead of over-promising and under-delivering). By emphasizing reliability, organizations reduce friction – there are fewer breakdowns, surprises, or misunderstandings – and they create setups that everyone trusts. For example, a reliable colleague or machine means one less thing to worry about, freeing the team to focus on higher-level issues. In short, reliability in each component creates a foundation of dependability for the whole system, allowing complex operations to run smoothly.","- https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-017-4153-7 (the same meta-review cited earlier notes moderate evidence that job reliability/stability improves outcomes and reduces burnout – indirectly supporting reliability’s importance)
- https://pubmed.ncbi.nlm.nih.gov/25222612/ (meta-analysis: reliable job conditions and support correlate with lower emotional exhaustion and better organizational outcomes)"
Act Freely,Autonomy/Freedom,,"Play a video game,Road trip",Coerced,act-freely,"Angry,Frustrated,Frightened,Thwarted,Scared","Flexibility and voluntary action can improve adaptation when conditions change. This need may motivate proposing alternatives, selecting methods that fit one’s style, and declining unnecessary constraints. Supporting free action preserves creativity and responsible choice.","Having the freedom to choose one’s actions and methods promotes better adaptation in the face of change. When people can be flexible – for example, by suggesting alternative approaches or working in a style that suits them – they tend to respond more creatively and effectively to new challenges. Research in organizational psychology shows that autonomy (voluntary, self-directed action) at work is associated with higher innovation and problem-solving capacity (e.g., giving teams freedom in how they achieve goals boosts creativity and motivation; see Harvard Business Review 1998, “How to Kill Creativity”). By avoiding unnecessary rules and constraints and allowing individuals some latitude, we preserve their intrinsic motivation and sense of responsibility. In essence, supporting the ability to act freely nurtures creativity and helps people adapt responsibly when conditions shift.","- https://hbr.org/1998/09/how-to-kill-creativity (Harvard Business Review – Teresa Amabile – emphasizing that autonomy and freedom in how work is done fosters creativity and innovation)
- https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6627190/ (research linking flexible, autonomous work environments to stronger adaptability and performance)"
Choose Freely,Autonomy/Freedom,,"Road trip,Make a request in conversation","Coerced,Manipulated",choose-freely,"Angry,Frustrated,Frightened,Thwarted,Scared,Powerless","The ability to make one’s own choices can offer flexibility and adaptation when circumstances change. This need may motivate questioning or resisting unnecessary restraints, exploring alternative options, and asserting personal preferences. Supporting free choice preserves individual creativity and responsibility, leading to more wholehearted engagement in tasks and decisions.","Having autonomy and freedom of choice is empirically linked to better motivation and well-being. Self-Determination Theory identifies autonomy (the freedom to choose one’s actions) as a basic psychological need; when this need is satisfied, people show enhanced intrinsic motivation and mental health (Ryan & Deci 2000, American Psychologist, 55(1), 68–78). In practical terms, studies have found that giving individuals more control over decisions leads to positive outcomes. A classic field experiment in a nursing home showed that residents given more choices and personal responsibility became more alert, active, and happier compared to those who had all decisions made for them (Langer & Rodin 1976). Thus, being able to choose freely tends to improve one’s engagement, well-being, and even health, whereas being overly controlled or without choice can undermine motivation and satisfaction.","- https://pubmed.ncbi.nlm.nih.gov/1011073/ (Study linking meaningful choice opportunities with stronger motivation and well-being)
- https://pubmed.ncbi.nlm.nih.gov/11392867/ (Deci & Ryan (2000) self-determination theory review on autonomy)"
Understanding,Empathy/Understanding,,"Play an instrument,View previous things you've written or made,Listen to music,Inanimate Interview,Nearest Job","Criticized,Disliked,Misunderstood,Put down,Unheard,Unsupported,Humiliated",understanding,"In pain,Scared,Anxious,Frustrated,Angry,Embarrassed,Sad,Lonely,Hurt,Upset,Hostile,Resentful","Shared meaning can lower error and conflict during complex tasks. This need may motivate inquiry, paraphrasing, and constructing common models. Understanding aligns action and strengthens relationships.","People working or living together need to have a mutual understanding – a shared interpretation of goals, faux feelings, or language – to avoid mistakes and unnecessary disagreements. When everyone “gets” the situation in a similar way, complex tasks go more smoothly and conflicts are minimized. The need for understanding may push us to ask questions when we’re unsure (“Could you clarify what you mean?”), to rephrase or paraphrase what others say to confirm we got it right, and to develop common reference points or models (like shared jargon, or a team game plan) that everyone can refer to. In team research, groups that take time to form a shared mental model of their project make fewer errors and coordinate better. Similarly, in personal relationships, actively striving to understand each other’s perspectives (instead of assuming or talking past one another) strengthens the bond and reduces friction. Ultimately, achieving mutual understanding means aligning everyone’s actions toward the same picture of reality and goals. It not only improves effectiveness in tasks but also builds trust and closeness, because each person feels “seen” and on the same page with the others. Belonging","- https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5789218/ (study on shared mental models in teams: when team members develop a common understanding of tasks and each other’s roles, errors decrease and performance improves)
- https://onlinelibrary.wiley.com/doi/10.1002/ejsp.2614 (research: fostering mutual understanding through open dialogue reduced conflict and improved relationship satisfaction)"
Recognition,Empathy/Understanding,,"(Honor) Reflection Meditation,Unsended appreciation,Specific thank-you,Mirror kindness,Micro-celebration","Criticized,Discounted/Diminished,Insulted,Invalidated,Patronized,Taken for granted,Humiliated",recognition,"In pain,Scared,Anxious,Frustrated,Angry,Embarrassed,Hurt,Resentful,Sad,Disappointment","Naming value and impact can reinforce effective behavior. This need may motivate sharing outcomes, inviting review, and honoring contributions publicly. Thoughtful recognition strengthens engagement and retention.","People need their positive efforts to be seen and acknowledged. When someone explicitly points out the value or impact of what we’ve done (“You did X, and it really helped Y”), it reinforces that behavior and motivates us to continue it. The need for recognition may drive us to communicate our may result or successes, seek feedback or evaluations, and to formally credit and thank others’ contributions in public or visible ways. In workplaces, for example, a culture of recognition – where achievements are routinely highlighted – has been found to boost employee engagement and reduce turnover, because individuals feel appreciated and connected to the organization’s success (see Gallup’s research on the high impact of recognition). Thoughtful recognition isn’t just a pat on the back; it specifically tells a person what they did well and why it mattered, which strengthens their commitment and satisfaction. In sum, by openly honoring contributions and outcomes, we energize people to keep putting in effort and we build loyalty, as everyone feels their part is noticed and valued.","- https://www.gallup.com/workplace/236441/employee-recognition-low-cost-high-impact.aspx (Gallup analysis: employees who receive regular recognition are more engaged and have lower turnover – highlights importance of specific praise)
- https://psycnet.apa.org/record/2015-35180-001 (study showing that when people’s positive actions are recognized by others, it increases their intrinsic motivation and commitment)"
Non-judgmental Communication,Empathy/Understanding,,"Call a friend,Call a parent","Criticized,Humiliated",non-judgmental-communication,"In pain,Scared,Anxious,Frustrated,Angry,Embarrassed,Hurt,Sad","Descriptive, curiosity-based dialogue can reduce defensiveness and improve problem solving. This need may motivate observing without labels, checking interpretations, and separating facts from evaluations. Non-judgmental exchange creates conditions for learning and repair.","Communicating in a non-judgmental way – meaning you focus on describing what you observe, asking questions to understand, and separating facts from your personal evaluations – tends to lower the other person’s defensiveness and leads to better joint problem-solving. We have a need for such open, blame-free dialogue especially when something goes wrong or there’s a disagreement. This need may prompt us to observe carefully without rushing to label or criticize, to verify that we understand the other person correctly (“So, you felt X when Y happened?”), and to hold off on value judgments while gathering information. Research in counseling and conflict management shows that when conversations take this curious, non-accusing tone, parties are more likely to stay engaged, learn from each other, and find solutions, rather than shutting down or escalating the conflict. In essence, non-judgmental communication creates a safe space for honest discussion, which is essential for correcting mistakes, resolving misunderstandings, and fostering mutual respect.","- https://pmc.ncbi.nlm.nih.gov/articles/PMC5961625/ (Rogers & Feller (2018) Psychological Science: I-language phrasing reduces defensiveness compared to you-language)
- https://compass.onlinelibrary.wiley.com/doi/full/10.1111/spc3.12651 (Weinstein (2022) Social and Personality Psychology Compass review: high-quality listening lowers defensiveness and motivates openness)"
Need to matter,Love/Caring,,"Write,Play a video game,Sing,Read a poem you like aloud",Discounted/Diminished,need-to-matter,"Hurt,Angry,Embarrassed,Frustrated,Jealous","Closely related to ‘mattering,’ this may emphasize recognition of one’s significance in specific contexts. It motivates seeking roles with visible impact and inviting concrete acknowledgment. When mattering is explicit, motivation and loyalty increase.","This need may be about feeling that in a given group or context, one’s presence and contributions are especially significant and valued. It’s an extension of the general need to matter, focusing on concrete recognition (“I know I matter here, because I see the impact I have and others acknowledge it”). People with this need will seek out roles where their contributions are visible and make a difference, and they actively invite feedback or signs that others notice their impact. When an organization or community makes it clear to someone that they truly matter – for example, by recognizing their work publicly or showing how their role is crucial – that person’s motivation and loyalty tend to grow. Empirical studies in workplaces find that employees who feel they explicitly matter to their team or company (not just in theory, but through direct appreciation and meaningful responsibilities) are more engaged and less likely to leave. In summary, beyond just belonging, people crave evidence that they as individuals are important in their specific context; providing that assurance boosts drive and dedication.","- https://psycnet.apa.org/fulltext/2013-06610-006.html (study on workplace “mattering”: employees who feel explicitly valued in their role show higher motivation and commitment)
- https://www.frontiersin.org/articles/10.3389/fpsyg.2019.01016/full (study showing that feeling one matters to others increases engagement and self-esteem)"
Friendship,Community/Belonging,,"Call a friend,Play a video game",Disliked,friendship,"Sad,Lonely,Hurt","Enduring affiliative bonds are often associated with better health and longevity. This need may motivate companionship, shared activity, and reciprocal care. Friendship supplies steady social buffering and joy.","Close friendships – lasting bonds of mutual affection – are not only emotionally rewarding but also linked to tangible health benefits, including longer life. Recognizing this, humans have a need for friendship that may drive us to seek out companions, spend time together in enjoyable activities, and care for each other in a reciprocal way. Scientific evidence is striking: a meta-analysis of over 300,000 people found that those with strong social relationships (friends, family) had about a 50% higher likelihood of survival over time compared to socially isolated individuals. Friendships provide a “social buffer,” meaning that having friends helps cushion the impact of stress and adversity (for example, talking to a friend can calm our physiological stress responses). Additionally, good friends bring joy and fun into life, which supports mental health. In short, friendship is like a constant protective and uplifting force – it improves well-being day-to-day and can even contribute to a healthier, longer life.","- https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1000316 (meta-analysis of 148 studies: strong social relationships increase survival by ~50%)
- https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3150158/ (meta-analysis showing strong friendships and social ties reduce stress and increase longevity)"
Space,Autonomy/Freedom,,"Go on walk,Ask for a pause,Phone face-down,Seat Press","Harassed,Hassled,Pressured,Smothered/Suffocated,Violated",space,"Angry,Frustrated,Frightened,Irritated,Distressed,Anxious,Resentful,Overwhelmed,Fear,Desperation,Sad,Agitated,Anxiety","Physical and cognitive room can reduce overload and permit autonomy. This need may motivate creating distance, scheduling pauses, and limiting simultaneous demands. Space preserves clarity and choice.","Just as we need breathing room in a crowd, we also need mental and physical “space” in our lives. When we have sufficient personal space – not just in the literal sense of room to move, but also unoccupied time and manageable demands – we avoid feeling overwhelmed and retain a sense of control (autonomy) over what we do. The need for space may lead people to sometimes take a step back: for example, setting aside alone time, not packing schedules to the brim, and avoiding juggling too many tasks at once. By carving out these spaces (a clear desk, an empty slot in the calendar, a limit on concurrent projects), we preserve our mental clarity and our ability to make free choices about our focus. Research supports this: workers who are given some unstructured time or a less cluttered environment often exhibit better concentration and creativity than those pressured in a constant hustle. In summary, having space – both around us and in our mind – prevents overload and empowers us to act deliberately rather than reactively, thereby protecting our clarity of thought and independence in decision-making.","- https://www.sciencedirect.com/science/article/pii/S2090447923000059 (study on open vs. crowded environments: having personal space correlates with perceived autonomy and lower stress)
- https://psycnet.apa.org/record/2018-54106-001 (research on cognitive load: giving people “mental space” (time with no tasks) improved clarity of thinking and decision quality)"
Peace,Beauty/Peace/Play,,"Stare off,Go on walk,Listen to music,Butterfly taps,Hand on heart breaths,Box breathing,4-7-8 breathing,Count 20 exhalations,Soft-gaze minute,Sky glance,Turn on Do Not Disturb,Slow-walk 60 seconds,Body scan (30 sec),Breath with steps,Name what’s outside control,Three breaths before reply,Align x3,Grain Trace,Shadow Line,Corner Count","Harassed,Pressured",peace,"Angry,Frustrated,Frightened,Anxious,Resentful,Overwhelmed","Low-conflict conditions can allow resources to shift from defense to development. This need may motivate de-escalation, boundary agreements, and restorative practices. Peace enables sustained focus, trust, and growth.","When people aren’t preoccupied with conflict or threat, they can redirect their energy and resources toward positive development – such as learning, creating, or building better lives. This basic need for peace may drive behaviors aimed at reducing or preventing conflict: people will try to calm tensions, establish clear boundaries or treaties to avoid clashes, and use restorative methods to heal disputes that do occur. By helping to maintain peaceful conditions, individuals and communities can sustain focus on growth activities (education, commerce, relationships) rather than on defending against danger. Research in conflict psychology notes that ongoing strife consumes mental bandwidth and material resources (for defense or worry), whereas periods of peace correspond with economic growth, improved mental health, and stronger social trust. Thus, peace isn’t just the absence of war or fighting – it’s an enabling environment that allows trust to deepen and constructive efforts to flourish over the long term.","- https://pmc.ncbi.nlm.nih.gov/articles/PMC9535176/ (Hyder et al. (2022) Pan American Journal of Public Health: synthesis linking peaceful conditions with better population health, mental health, and development outcomes)
- https://psycnet.apa.org/record/2019-50470-001 (study: chronic conflict or exposure to violence diverts cognitive and economic resources; peace-time leads to improved cognitive function and societal progress)
- https://pmc.ncbi.nlm.nih.gov/articles/PMC9957523/ (Carpiniello & Pinna (2023) International Journal of Environmental Research and Public Health: review documenting the mental-health costs of armed conflicts)
- https://www.thelancet.com/journals/lanpub/article/PIIS2468-2667(22)00088-3/fulltext (Tay et al. (2022) The Lancet Public Health: analysis of the mental health needs of displaced people exposed to armed conflict)"
Serenity,Beauty/Peace/Play,,"Listen to music,Read a poem you like aloud,Grain Trace",Hassled,serenity,"Irritated,Distressed,Angry,Frightened","Low-arousal states can aid recovery and perspective taking. This need may motivate simplifying inputs, protecting quiet, and pacing attention. Serenity supports judgment and sustainable engagement.","Serenity refers to a state of deep calm and low stimulation. In serene moments – when things are quiet, simple, and not demanding – our minds and bodies can truly recuperate, and we often gain better perspective on problems or life. This need for serenity may drive us to cut down on excessive noise or information (simplifying the inputs we deal with), to seek out or protect moments of quiet (e.g., a peaceful walk, meditation, or simply sitting in silence), and to intentionally slow down how we direct our attention (instead of frantic multitasking, doing one thing at a gentle pace). Such serene interludes help our judgment: when we’re not overwhelmed, we make more considered decisions and can reflect on different viewpoints more patiently. Additionally, regularly experiencing serenity prevents burnout – it makes our engagement in work or relationships more sustainable by periodically giving our system a rest. In essence, just as muscles need rest between intense workouts, our psychological faculties need serene periods to recover and function at their best.","- https://pmc.ncbi.nlm.nih.gov/articles/PMC7024394/ (neuroscience study: periods of calm, low stimulus (“serene” states) showed enhanced activity in brain regions associated with memory consolidation and perspective integration)
- https://pubmed.ncbi.nlm.nih.gov/19121124/ (psych research: being in a peaceful environment improved participants’ complex decision-making and empathy compared to being in a hectic environment)"
Do things at my own pace and in my own way,Autonomy/Freedom,,"Play a video game,Road trip",Hassled,do-things-at-my-own-pace-and-in-my-own-way,"Irritated,Distressed,Angry,Frightened","Individually tuned pacing can support learning, accuracy, and sustainability. This need may motivate customizing timelines, sequencing tasks, and aligning methods with personal rhythms. Honoring pace preserves quality and reduces burnout.","Being able to set one’s own pace for work and learning is beneficial for both performance and health. Research on time pressure suggests that when people are forced to rush, their performance suffers and stress rises. One study found that reducing available time for tasks significantly impaired individuals’ executive function and increased their stress levels, while giving more time restored performance (Sussman & Sekuler 2022). In general, working under constant time pressure tends to increase speed at the expense of quality, leading to more errors and mental strain (Moore & Tenney 2012). By contrast, when people can proceed at a comfortable, self-determined pace, they often achieve better accuracy, retain information more effectively, and experience less burnout. This suggests that honoring an individual’s need to work at their own pace supports sustained learning and productivity while protecting their well-being.","- https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-017-4153-7 (review of work environment factors: having control over work pace is linked to lower burnout and higher quality output – see job control “protects against” exhaustion)
- https://onlinelibrary.wiley.com/doi/abs/10.1111/apps.12008 (meta-analysis showing job control/autonomy, including pacing, buffers against burnout)
- https://pmc.ncbi.nlm.nih.gov/articles/PMC9506568/ (Sussman & Sekuler (2022) study: time pressure degrades executive function)
- https://www.researchgate.net/publication/286319678_Time_Pressure_Performance_and_Productivity (Moore & Tenney (2012) analysis: constant time pressure lowers quality and productivity)"
